Resort;Latitude;Longitude
Chr?a;36.428912;2.883989
Tala Guilef;36.471256;3.997808
Tikjda;36.466286;4.168678
Canaro;42.583000;1.650000
Grandvalira;42.569999;1.600000
Ordino - Arcalis;42.558146;1.534590
Pal - Arinsal;42.550000;1.483330
Pas de la Casa;42.531980;1.714477
Peretol;42.561759;1.681291
Soldeu El Tarter;42.561742;1.663313
Vallnord;42.599999;1.550000
Catedral Alta Patagonia;-41.178266;-71.482543
Caviahue;-37.865367;-71.076049
Cerro Batea Mahuida;-38.814231;-71.191492
Cerro Bayo;-40.761921;-71.651459
Cerro Castor;-54.724124;-68.016357
Cerro Wayle;-37.188563;-70.110677
Chapelco;-40.198196;-71.319156
Glaciar Martial;-54.787438;-68.410503
La Hoya;-42.755584;-71.263504
Las Le?as;-35.151992;-70.077461
Las Pendientes;-40.198196;-71.319156
Los Penitentes;-32.841837;-69.847721
Los Puquios;-32.799999;-69.883333
Perito Moreno;-41.788862;-71.562878
Primeros Pinos;-38.864766;-70.644452
Valdelen;-51.557339;-72.348452
Vallecitos;-32.979868;-69.354457
Tsakhkadzor;40.531358;44.724947
Ben Lomond;-41.505959;147.607663
Charlotte Pass;-38.065130;145.448448
Dinner Plain;-37.035562;147.279388
Falls Creek;-36.862994;147.279405
Mt. Baw Baw;-37.836059;146.259948
Mt. Buffalo;-36.711069;146.794642
Mt. Buller;-37.146357;146.449411
Mt. Hotham;-36.983333;147.133333
Mt. Mawson;-42.685376;146.593605
Perisher Blue;-36.435432;148.559121
Selwyn Snowfields;-35.927557;148.360730
Thredbo;-36.503720;148.305013
3laendereck;46.712104;13.806862
Abtenau;47.550000;13.350000
Achenkirch / Christlum;47.513592;11.801166
Aflenz / B?rgeralm;47.544120;15.238335
Aineck Katschberg;47.059484;13.614840
Alberschwende Br?ggelekopf;47.447213;9.847898
Alpbach;47.399093;11.943121
Alpenarena Hochh?derich;47.457342;9.960331
Alpl-Krieglach Waldheimat;47.509519;15.641313
Altaussee - Loser;47.658997;13.777896
Altenmarkt;47.296927;13.455505
Andelsbuch;47.413191;9.895125
Ankogel;47.050000;13.249999
Annaberg;47.516666;13.416666
Annaberg;47.882772;15.358759
Annerlbauer;47.574373;15.556458
Arra Lifte;48.653371;14.782621
Axamer Lizum;47.195962;11.301763
Bad Kleinkirchheim;46.798341;13.806216
Bad Mitterndorf;47.596108;13.986057
Balderschwang;47.460310;10.097608
Berwang;47.409130;10.749723
Biberwier;47.383649;10.892043
Bichlbach;47.420016;10.788252
Bielerh?he;46.915687;10.089451
Bizau / Hirschberg;47.367077;9.934497
Brandnertal;47.125706;9.771366
Brixen im Thale;47.450296;12.249850
Brunnalm - Hohe Veitsch;47.636070;15.426025
Buch Schneiderkopf;47.480671;9.812075
Buchensteinwangl;47.475885;12.544446
B?dele;47.405585;9.822773
Dachstein West;47.594562;13.494991
Dam?ls;47.279478;9.891905
Diedamskopf;47.319407;10.001976
Dorfgastein - Gro?arl;47.240813;13.106564
Eben;47.415389;13.381096
Ebensee Feuerkogel;47.814831;13.758606
Ehrwald;47.398353;10.920212
Ehrwalder alm;47.387153;10.938426
Elfenberg;47.384144;14.820603
Ellmau;47.513608;12.301607
Emberger Alm Greifenburg;46.776639;13.149439
Fanningberg/Mariapfarr;47.168241;13.684977
Fellhorn;47.351317;10.217347
Fieberbrunn;47.475885;12.544446
Filzmoos;47.434361;13.521676
Finkenberg;47.153995;11.824610
Flachau;47.344249;13.392689
Flattach;46.934352;13.130285
Flie? Venet;47.144759;10.591731
Fontanella-Faschina;47.267830;9.906673
Forsteralm;47.905013;14.752113
Fulpmes Schlick 2000;47.157568;11.374692
Furtner Lifte;47.908027;15.771636
Fusch;47.224492;12.828598
F?gen Spieljoch;47.356109;11.830829
F?ssener J?chle Gr?n;47.491845;10.587259
Gaaler Lifte;47.262654;14.680342
Gaberl - Stubalpe;47.108100;14.922187
Gaissau-Hintersee;47.715314;13.238282
Galsterberg;47.384709;13.869349
Galt?r;46.968506;10.187330
Gargellen;46.969024;9.917530
Gastein;47.114348;13.135998
Gemeindealpe;47.810430;15.254434
Gerlitzen;46.695045;13.910013
Gerlos;47.225864;12.037355
Going;47.513214;12.333047
Goldeck;46.761281;13.456626
Goldegg;47.295849;13.110304
Golm;47.066119;9.848898
Gosau;47.581661;13.508377
Grabs - Tschagguns;47.062887;9.883337
Grebenzen - St.Lambrecht;47.051013;14.330461
Grosseck Speierreck;47.124064;13.648411
Gro?glockner Resort;47.005945;12.652565
Gschwandtkopf Lifte;47.322218;11.179441
Gurtis;47.193398;9.644738
Hauser Kaibling;47.379363;13.770386
Hebalm;46.929719;15.006475
Hebalm kluglifte;46.907522;15.035101
Heiligenblut - Gro?glockner;47.040188;12.830413
Heiterwang;47.445043;10.751636
Helmellift;47.842935;15.013951
Hinterstoder;47.676423;14.168291
Hintertux;47.117049;11.676372
Hirschegg;47.012158;14.954870
Hochficht - Schwarzenberg;48.739726;13.896094
Hochfilzen;47.468961;12.621980
Hochf?gen;47.349571;11.819916
Hochjoch Schruns;47.089927;9.948867
Hochkar;47.710700;14.901345
Hochk?nig;47.421749;13.062943
Hochlecken;47.950198;13.805045
Hochzeiger;47.149743;10.746739
Hochzillertal Kaltenbach;47.287728;11.827143
Hohe Salve;47.465296;12.202424
Hohedirn;47.905717;14.409213
Hohentauern;47.424379;14.476369
Hopfgarten - Kelchsau;47.452920;12.162169
Ifen;47.354982;10.161931
Ifen Kleinweisertal;47.354982;10.161931
Ifenblick-Lifte;47.431236;10.032829
Imst;47.241981;10.738340
Innerkrems schonfeld kaseralm;46.971172;13.747491
Innsbruck;47.268234;11.396542
Innsbruck Nordkette;47.297444;11.383355
Ischgl;47.011963;10.291535
Itter;47.467240;12.157994
Jauerling;48.334476;15.344042
Joglland - Waldheimat;47.467549;15.783060
Jungholz;47.573741;10.447845
Jungholz;47.573741;10.447845
Kaiserau;47.525200;14.495173
Kanzelwand;47.345531;10.131627
Kasberg;47.830748;14.001416
Katrinseilbahn;47.703336;13.608419
Katschberg;47.059409;13.615137
Kelchsau;47.390131;12.134174
Kirchberg;47.446695;12.318242
Kitzb?hel;47.452934;12.222633
Kitzsteinhorn - Kaprun;47.187969;12.687460
Kleinarl;47.284031;13.333367
Kleinwalsertal;47.354372;10.186107
Klippitzt?rl;46.950535;14.685758
Klostertal Sonnenkopf-Kl?sterle;47.128315;10.054426
Koenigsberglifte;47.803331;14.771995
Koralpe;46.802992;14.945518
Kramsach;47.447176;11.883575
Krippenstein;47.529221;13.682988
Kristberg Silbertal;47.098065;9.977436
Kr?henberg-Lifte;47.422174;10.039845
K?ssen;47.659256;12.397238
K?htai;47.213843;11.024553
Lachtal;47.256562;14.360469
Lackenhof ?tscher;47.870029;15.155319
Lammeralm;47.588075;15.590692
Laterns;47.257050;9.743770
Lech;47.208116;10.141698
Lechtaler;47.272854;10.385082
Leogang;47.431833;12.748777
Lermoos;47.398500;10.887500
Leutasch Katzenkopf;47.367750;11.165238
Lienz Hochstein;46.805367;12.774919
Lofer;47.582583;12.687907
Lungau;47.129219;13.628526
Maiszinken;47.856380;15.051873
Maria Alm;47.402082;12.913146
Mariazell B?rgeralpe;47.775385;15.316828
Maurach am Achensee;47.423663;11.747484
Mayrhofen;47.169430;11.861600
Mellau;47.350307;9.881908
Mieders Hochserles;47.169112;11.381516
Modriach Winkel;46.944133;15.079892
Moenichkirchen;47.516897;16.004876
Molltaler Gletscher;47.033329;13.008714
Montafon;47.077967;9.896308
Murau / Kreischberg;47.081580;14.063284
Murauer Frauenalpe;47.075352;14.146418
Mutterer Alm;47.227649;11.377212
Muttersberg;47.163772;9.829465
M?sern;47.310922;11.146874
Nauders;46.891305;10.510144
Nesselwaenge;47.486459;10.600483
Nesselw?ngle;47.486706;10.617543
Neustift Elfer Lift;47.101267;11.279152
Niederalpl;47.675614;15.492583
Nordpark Seegrube;47.301492;11.383815
Obergurgl-Hochgurgl;46.870588;11.027368
Obertauern;47.247119;13.561995
Oetz;47.201755;10.892453
Oswaldbauer;47.573856;15.532648
Patscherkofel;47.209049;11.458778
Pettneu;47.147486;10.340582
Pettneu;47.147486;10.340582
Petzen;46.516048;14.773010
Pf?nder;47.506516;9.782229
Piesendorf;47.291707;12.716946
Pillersee Buchensteinwand;47.499155;12.566391
Pitztaler Gletscher - Rifflsee;46.958350;10.871429
Planai;47.374333;13.721732
Planneralm;47.404728;14.199997
Pruggern;47.423192;13.875553
Pr?bichl;47.517141;14.963189
Pungrat;46.481993;14.300195
Radstadt;47.367549;13.451750
Raggal;47.210714;9.837580
Ramsau am Dachstein;47.417017;13.675167
Rangger K?pfl;47.163748;11.223643
Raurisertal;47.228585;12.982664
Rax;47.674418;15.765123
Reiteralm;47.370502;13.596849
Reuttener Bergbahn;47.479524;10.664809
Riesneralm;47.369116;14.101031
Rosenegger Abschlepper;47.488383;12.526302
Salzstiegl;47.057491;14.866141
Schattwald;47.512605;10.461224
Scheffau;47.528550;12.250130
Schetteregg;47.418147;9.982015
Schilift Glasenberg;47.945060;14.574021
Schilift-sandl;48.560676;14.628503
Schilifte Feistritzsattel;47.576336;15.850841
Schladming;47.396805;13.684284
Schmittenh?he - Zell am See;47.323673;12.787215
Schneeberg am Puchberg;47.785016;15.901039
Schr?cken;47.258212;10.097335
See;47.084046;10.469867
Seefeld;47.330808;11.199655
Semmering-Hirschenkogel;47.630946;15.830223
Serfaus - Fiss - Ladis;47.038414;10.607735
Sillian;46.747600;12.417623
Silvretta Nova;47.008580;9.899546
Simonhohe;46.775884;14.167328
Sirnitz- Albeck - Hochrindl;46.861904;13.991437
Ski Amade;47.263076;13.289891
Ski Zillertal 3000;47.116667;11.683333
Skicircus Saalbach;47.378594;12.595856
Skigebiet falkert;46.866455;13.826094
Soelden;46.966718;11.007376
Soellereck;47.369112;10.224774
Sommeralm - Holzmeisterlift;47.354891;15.516452
Sonnberglifte - Wald am Schoberpass;47.459234;14.671602
Sonntag;47.237549;9.897746
Sonnwendstein/Maria Schutz;47.641791;15.866077
St Jakob im walde;47.460141;15.797776
St. Anton am Arlberg;47.127400;10.263700
St. Corona;47.585568;16.010060
St. Jakob im Defereggental;47.147100;10.342200
St. Johann;47.348399;13.202388
St. Johann in Tirol;47.522614;12.425729
Steinach Bergeralm;47.078835;11.464750
Steinplatte;47.610086;12.555783
Sternstein;48.557114;14.277452
Stoderzinken;47.461787;13.823444
Strallegg;47.435120;15.703291
Stubaier Gletscher;47.010868;11.154866
Stuben;47.139407;10.158863
Stuhleck - Semmering;47.592646;15.766564
Sulzberg;47.529605;9.905956
S?ll;47.503611;12.191686
Tannheim;47.496923;10.516355
Teichalmlifte;47.346430;15.458574
Thiersee Hagerhof;47.588846;12.096655
Tonnerh?tte;47.053372;14.536501
Tulfes/Rinn - Glungezer;47.218540;11.532545
Turnau - Schwabenbergarena;47.552316;15.350388
Turracher H?he - K?rnten;46.921134;13.868315
T?rnitz Eibl;47.925889;15.473393
Unken-Heutal;47.639074;12.714439
Unterberg;47.935919;15.824673
Venet;47.138498;10.566523
Vent - Stablein;46.862382;10.912185
Viehberg Sandl;48.561960;14.636054
Vorderstoder;47.712475;14.224728
Wachtberglifte;47.887651;13.579416
Wagrain;47.333365;13.296547
Walchsee Zahmer Kaiser;47.645093;12.302569
Warth;47.259806;10.177127
Weinebene;46.840051;15.016355
Weissbriach Gitschtal;46.681190;13.243364
Wei?ensee;46.702889;13.302771
Wei?see;47.132724;12.620691
Wenigzell;47.425765;15.757374
Werfenweng;47.465448;13.291108
Westendorf;47.431940;12.214451
Wilder Kaiser - Brixental;47.483350;12.308300
Wildkogel;47.285617;12.296778
Winklmoosalm;47.637642;12.560206
Wurzeralm Frauenkar;47.646509;14.278831
Zauchensee;47.292325;13.454347
Zell im Zillertal;47.244978;11.936990
Zillertal;47.387900;11.843987
Zillertalarena;47.257506;12.047646
Zugspitz Arena;47.402308;10.921404
Zwoelferhorn Seilbahn;47.746725;13.351297
Z?blen;47.506711;10.476254
Z?rs;47.169300;10.163400
?tz Hoch?tz Balbach;47.208389;10.898813
?bersaxen Gr?llerkopf;47.257343;9.682490
Logoisk;54.200000;27.800000
Silichy;54.156667;27.839997
