ISO_3DIGIT;Annual_temp;qualif_temperature
SJM;-9,14;tres froid
CAN;-7,14;tres froid
RUS;-6,32;tres froid
MNG;-0,5;tres froid
NOR;0,75;froid
KGZ;1,09;froid
FIN;1,35;froid
ISL;1,35;froid
SWE;1,55;froid
TJK;3,03;froid
CHE;4,75;froid
PRK;4,86;froid
EST;5,03;froid
LVA;5,63;froid
FLK;5,79;froid
KAZ;5,99;froid
AUT;6,19;froid
LTU;6,24;froid
BLR;6,29;froid
CHN;6,33;froid
ARM;6,37;froid
USA;6,75;tempere
SVK;7,27;tempere
GEO;7,36;tempere
CZE;7,67;tempere
DNK;7,82;tempere
POL;7,87;tempere
MNE;7,91;tempere
SVN;8,04;tempere
UKR;8,21;tempere
GBR;8,31;tempere
CHL;8,37;tempere
KSV;8,42;tempere
DEU;8,5;tempere
BTN;8,58;tempere
ROU;8,81;tempere
LUX;8,88;tempere
BIH;9,02;tempere
IRL;9,11;tempere
NLD;9,2;tempere
BEL;9,51;tempere
MDA;9,67;tempere
MKD;9,85;tempere
NZL;9,98;tempere
HUN;10,06;tempere
SRB;10,18;tempere
JPN;10,36;tempere
BGR;10,4;tempere
HRV;10,47;tempere
FRA;10,54;tempere
KOR;10,66;tempere
TUR;10,93;tempere
ALB;11,27;tempere
ITA;11,5;tempere
LSO;11,97;tempere
AZE;12,22;tempere
UZB;12,52;tempere
NPL;12,74;tempere
AFG;12,92;tempere
ESP;13,03;tempere
GRC;13,66;tempere
ARG;14,22;tempere
PRT;14,97;tempere
TKM;15,22;tempere
LBN;15,61;Chaud
IRN;16,93;Chaud
MAR;17,23;Chaud
URY;17,57;Chaud
ZAF;17,6;Chaud
SYR;17,65;Chaud
JOR;18,35;Chaud
CYP;18,71;Chaud
RWA;19,01;Chaud
TUN;19,36;Chaud
PER;19,46;Chaud
ISR;19,7;Chaud
PAK;19,98;Chaud
NAM;20,04;Chaud
BDI;20,27;Chaud
SWZ;20,41;Chaud
MEX;20,54;Chaud
BOL;20,98;Chaud
ZWE;21,03;Chaud
REU;21,08;Chaud
ECU;21,33;Chaud
BWA;21,48;Chaud
AGO;21,51;Chaud
AUS;21,51;Chaud
IRQ;21,58;Chaud
ZMB;21,58;Chaud
LBY;21,9;Chaud
NCL;21,96;Chaud
MWI;21,98;Chaud
MDG;22,01;Chaud
EGY;22,12;Chaud
TZA;22,31;Chaud
ETH;22,37;Chaud
DZA;22,58;Chaud
UGA;22,6;Chaud
MMR;22,96;Chaud
GTM;23,07;Chaud
MUS;23,13;Chaud
YEM;23,16;Chaud
LAO;23,22;Chaud
FJI;23,37;Chaud
ESH;23,39;Chaud
HND;23,39;Chaud
PRY;23,48;Chaud
MOZ;23,69;Chaud
VUT;23,84;Chaud
CRI;23,85;Chaud
DOM;23,93;Chaud
IND;23,95;Chaud
COM;23,99;Chaud
COD;24,04;Chaud
VNM;24,07;Chaud
GNQ;24,13;Chaud
PRI;24,28;Chaud
COL;24,4;Chaud
JAM;24,47;Chaud
HTI;24,48;Chaud
KEN;24,5;Chaud
COG;24,52;Chaud
CMR;24,53;Chaud
NIC;24,59;Chaud
SAU;24,65;Chaud
PAN;24,72;Chaud
SLV;24,77;Chaud
CAF;24,84;Chaud
BRA;24,92;Chaud
TLS;24,97;Chaud
GAB;25;tres chaud
GLP;25,02;tres chaud
PNG;25,05;tres chaud
BHS;25,06;tres chaud
BLZ;25,06;tres chaud
CUB;25,13;tres chaud
MYS;25,14;tres chaud
KWT;25,15;tres chaud
LBR;25,25;tres chaud
VEN;25,32;tres chaud
PHL;25,33;tres chaud
OMN;25,45;tres chaud
BGD;25,47;tres chaud
GIN;25,55;tres chaud
GUF;25,62;tres chaud
SLB;25,68;tres chaud
IDN;25,72;tres chaud
VIR;25,74;tres chaud
SUR;25,77;tres chaud
GUY;25,8;tres chaud
TTO;25,86;tres chaud
BRN;25,93;tres chaud
SLE;26,04;tres chaud
ERI;26,07;tres chaud
THA;26,25;tres chaud
CIV;26,3;tres chaud
GNB;26,61;tres chaud
TCD;26,65;tres chaud
LKA;26,76;tres chaud
GMB;26,77;tres chaud
SOM;26,77;tres chaud
NGA;26,78;tres chaud
TGO;26,8;tres chaud
SDN;26,82;tres chaud
VCT;26,82;tres chaud
ARE;26,83;tres chaud
QAT;26,92;tres chaud
SSD;26,93;tres chaud
KHM;26,94;tres chaud
NER;27,24;tres chaud
GHA;27,25;tres chaud
BEN;27,46;tres chaud
DJI;27,64;tres chaud
MRT;27,69;tres chaud
SEN;27,87;tres chaud
BFA;28,18;tres chaud
MLI;28,3;tres chaud
