Country Code;Annee_2012;Qualificatif
AND;0;tres faible criminalite
LUX;0;tres faible criminalite
CZE;0,1;tres faible criminalite
TON;0,1;tres faible criminalite
SGP;0,2;tres faible criminalite
ISL;0,3;tres faible criminalite
JPN;0,3;tres faible criminalite
HKG;0,4;tres faible criminalite
NOR;0,5;tres faible criminalite
CHE;0,6;tres faible criminalite
IDN;0,6;tres faible criminalite
PSE;0,6;tres faible criminalite
BFA;0,7;tres faible criminalite
DNK;0,7;tres faible criminalite
SVN;0,7;tres faible criminalite
SWE;0,7;tres faible criminalite
ARE;0,8;tres faible criminalite
CHN;0,8;tres faible criminalite
DEU;0,8;tres faible criminalite
ESP;0,8;tres faible criminalite
KOR;0,8;tres faible criminalite
ITA;0,9;tres faible criminalite
NLD;0,9;tres faible criminalite
NZL;0,9;tres faible criminalite
POL;0,99;tres faible criminalite
AUT;1;tres faible criminalite
GBR;1;tres faible criminalite
AUS;1,1;tres faible criminalite
EMU;1,1;tres faible criminalite
EUU;1,1;tres faible criminalite
FRA;1,2;tres faible criminalite
HRV;1,2;tres faible criminalite
HUN;1,2;tres faible criminalite
IRL;1,2;tres faible criminalite
MAR;1,2;tres faible criminalite
PRT;1,2;tres faible criminalite
SRB;1,2;tres faible criminalite
DZA;1,3;tres faible criminalite
MAC;1,3;tres faible criminalite
NRU;1,3;tres faible criminalite
TJK;1,3;tres faible criminalite
MKD;1,4;tres faible criminalite
SVK;1,4;tres faible criminalite
GRC;1,5;tres faible criminalite
BIH;1,6;tres faible criminalite
CAN;1,6;tres faible criminalite
CEB;1,6;tres faible criminalite
FIN;1,6;tres faible criminalite
ISR;1,7;tres faible criminalite
BEL;1,8;tres faible criminalite
KWT;1,8;tres faible criminalite
MWI;1,8;tres faible criminalite
BGR;1,9;tres faible criminalite
CYP;1,9;tres faible criminalite
ROU;1,9;tres faible criminalite
SLE;1,9;tres faible criminalite
EAS;2;tres faible criminalite
EAP;2,1;tres faible criminalite
TEA;2,1;tres faible criminalite
ARM;2,2;tres faible criminalite
AZE;2,2;tres faible criminalite
HIC;2,2;tres faible criminalite
PST;2,2;tres faible criminalite
JOR;2,3;tres faible criminalite
CHL;2,5;faible criminalite
LBY;2,5;faible criminalite
MMR;2,5;faible criminalite
BGD;2,6;faible criminalite
CMR;2,7;faible criminalite
MNE;2,7;faible criminalite
MDV;2,9;faible criminalite
MLT;2,9;faible criminalite
VUT;2,9;faible criminalite
FJI;3;faible criminalite
ECS;3,1;faible criminalite
PLW;3,1;faible criminalite
TUN;3,1;faible criminalite
LBR;3,2;faible criminalite
UZB;3,2;faible criminalite
LKA;3,3;faible criminalite
GNQ;3,4;faible criminalite
IND;3,4;faible criminalite
BLR;3,6;faible criminalite
MEA;3,8;faible criminalite
BTN;3,9;faible criminalite
LBN;3,9;criminalite normale
SAS;3,9;criminalite normale
TSA;3,9;criminalite normale
OED;4;criminalite normale
PSS;4;criminalite normale
MNA;4,2;criminalite normale
TMN;4,2;criminalite normale
TKM;4,3;criminalite normale
TUR;4,3;criminalite normale
NAC;4,4;criminalite normale
BDI;4,5;criminalite normale
NER;4,5;criminalite normale
ARB;4,7;criminalite normale
MHL;4,7;criminalite normale
PRK;4,7;criminalite normale
USA;4,7;criminalite normale
EST;4,8;criminalite normale
FSM;4,8;criminalite normale
IRN;4,8;criminalite normale
LVA;4,8;criminalite normale
KSV;4,9;criminalite normale
THA;4,9;criminalite normale
LTE;5;criminalite normale
TEC;5,2;criminalite normale
KGZ;5,3;criminalite normale
ALB;5,5;criminalite normale
ECA;5,6;criminalite normale
MDA;5,6;criminalite normale
SOM;5,6;criminalite normale
IBD;5,8;criminalite normale
LMC;5,9;criminalite normale
SAU;6,2;criminalite normale
WLD;6,2;criminalite normale
BEN;6,3;criminalite normale
KEN;6,5;criminalite normale
MIC;6,5;criminalite normale
SDN;6,5;criminalite normale
YEM;6,5;criminalite normale
AFG;6,6;criminalite normale
LTU;6,7;criminalite normale
ZWE;6,7;criminalite normale
EAR;6,8;criminalite normale
DJI;7;criminalite normale
IBT;7;criminalite normale
LMY;7;criminalite normale
MNG;7,1;criminalite normale
QAT;7,2;criminalite normale
LAO;7,3;criminalite normale
UMC;7,3;criminalite normale
KIR;7,5;criminalite normale
BRB;7,8;criminalite normale
COM;7,8;criminalite normale
PAK;7,8;criminalite normale
BMU;7,9;criminalite normale
SEN;7,9;criminalite normale
TZA;7,9;criminalite normale
URY;7,9;criminalite normale
