Resort;Country;Latitude;Longitude
Chr?a;Algeria;36.428912;2.883989
Tala Guilef;Algeria;36.471256;3.997808
Tikjda;Algeria;36.466286;4.168678
Canaro;Andorra;42.583000;1.650000
Grandvalira;Andorra;42.569999;1.600000
Ordino - Arcalis;Andorra;42.558146;1.534590
Pal - Arinsal;Andorra;42.550000;1.483330
Pas de la Casa;Andorra;42.531980;1.714477
Peretol;Andorra;42.561759;1.681291
Soldeu El Tarter;Andorra;42.561742;1.663313
Vallnord;Andorra;42.599999;1.550000
Catedral Alta Patagonia;Argentina;-41.178266;-71.482543
Caviahue;Argentina;-37.865367;-71.076049
Cerro Batea Mahuida;Argentina;-38.814231;-71.191492
Cerro Bayo;Argentina;-40.761921;-71.651459
Cerro Castor;Argentina;-54.724124;-68.016357
Cerro Wayle;Argentina;-37.188563;-70.110677
Chapelco;Argentina;-40.198196;-71.319156
Glaciar Martial;Argentina;-54.787438;-68.410503
La Hoya;Argentina;-42.755584;-71.263504
Las Le?as;Argentina;-35.151992;-70.077461
Las Pendientes;Argentina;-40.198196;-71.319156
Los Penitentes;Argentina;-32.841837;-69.847721
Los Puquios;Argentina;-32.799999;-69.883333
Perito Moreno;Argentina;-41.788862;-71.562878
Primeros Pinos;Argentina;-38.864766;-70.644452
Valdelen;Argentina;-51.557339;-72.348452
Vallecitos;Argentina;-32.979868;-69.354457
Tsakhkadzor;Armenia;40.531358;44.724947
Ben Lomond;Australia;-41.505959;147.607663
Charlotte Pass;Australia;-38.065130;145.448448
Dinner Plain;Australia;-37.035562;147.279388
Falls Creek;Australia;-36.862994;147.279405
Mt. Baw Baw;Australia;-37.836059;146.259948
Mt. Buffalo;Australia;-36.711069;146.794642
Mt. Buller;Australia;-37.146357;146.449411
Mt. Hotham;Australia;-36.983333;147.133333
Mt. Mawson;Australia;-42.685376;146.593605
Perisher Blue;Australia;-36.435432;148.559121
Selwyn Snowfields;Australia;-35.927557;148.360730
Thredbo;Australia;-36.503720;148.305013
3laendereck;Austria;46.712104;13.806862
Abtenau;Austria;47.550000;13.350000
Achenkirch / Christlum;Austria;47.513592;11.801166
Aflenz / B?rgeralm;Austria;47.544120;15.238335
Aineck Katschberg;Austria;47.059484;13.614840
Alberschwende Br?ggelekopf;Austria;47.447213;9.847898
Alpbach;Austria;47.399093;11.943121
Alpenarena Hochh?derich;Austria;47.457342;9.960331
Alpl-Krieglach Waldheimat;Austria;47.509519;15.641313
Altaussee - Loser;Austria;47.658997;13.777896
Altenmarkt;Austria;47.296927;13.455505
Andelsbuch;Austria;47.413191;9.895125
Ankogel;Austria;47.050000;13.249999
Annaberg;Austria;47.516666;13.416666
Annaberg;Austria;47.882772;15.358759
Annerlbauer;Austria;47.574373;15.556458
Arra Lifte;Austria;48.653371;14.782621
Axamer Lizum;Austria;47.195962;11.301763
Bad Kleinkirchheim;Austria;46.798341;13.806216
Bad Mitterndorf;Austria;47.596108;13.986057
Balderschwang;Austria;47.460310;10.097608
